source,title,draft,current_url,current_categories,tags,aliases,proposed_category,review_status,planned_url
content/blog/助人工作/一位好的父親是如何養成的/index.md,一位好的父親是如何養成的？,False,/blog/助人工作/一位好的父親是如何養成的/,助人工作,助人工作,/blog/日常書寫/20221021一位好的父親是如何養成的/,助人工作,初步映射，未逐篇定案,/blog/助人工作/一位好的父親是如何養成的/
content/blog/助人工作/創傷知情工作坊心得/index.md,講座心得｜創傷知情與兒少服務工作坊,False,/blog/助人工作/創傷知情工作坊心得/,助人工作,創傷知情 | 講座心得 | 助人工作,/blog/工作坊心得/創傷知情工作坊/ | /blog/生活反思與心得/創傷知情工作坊/ | /blog/創傷知情/講座心得創傷知情與兒少服務工作坊/,助人工作,初步映射，未逐篇定案,/blog/助人工作/創傷知情工作坊心得/
content/blog/助人工作/創傷知情工作坊筆記/index.md,講座筆記｜創傷知情與兒少服務工作坊筆記,False,/blog/助人工作/創傷知情工作坊筆記/,助人工作,講座筆記 | 創傷知情 | 助人工作,/blog/創傷知情/講座筆記創傷知情與兒少服務工作坊/,助人工作,初步映射，未逐篇定案,/blog/助人工作/創傷知情工作坊筆記/
content/blog/助人工作/北監酒駕班後記/index.md,北監酒駕班後記：關於集體創作的觀察,False,/blog/助人工作/北監酒駕班後記/,助人工作,助人工作,/blog/日常書寫/20200626北監酒駕班後記/,助人工作,初步映射，未逐篇定案,/blog/助人工作/北監酒駕班後記/
content/blog/助人工作/北監酒駕班觀察心得/index.md,北監酒駕班觀察心得,False,/blog/助人工作/北監酒駕班觀察心得/,助人工作,助人工作,/blog/日常書寫/20191030北監酒駕班觀察心得/,助人工作,初步映射，未逐篇定案,/blog/助人工作/北監酒駕班觀察心得/
content/blog/助人工作/受苦的倒影/index.md,《受苦的倒影》新書講座：成為過道,False,/blog/助人工作/受苦的倒影/,助人工作,受苦的倒影 | 助人工作,/blog/受苦的倒影/受苦的倒影新書講座成為過道/,助人工作,初步映射，未逐篇定案,/blog/助人工作/受苦的倒影/
content/blog/助人工作/同步聽打培訓/index.md,同步聽打培訓,False,/blog/助人工作/同步聽打培訓/,助人工作,助人工作,/blog/日常書寫/20210808同步聽打/,助人工作,初步映射，未逐篇定案,/blog/助人工作/同步聽打培訓/
content/blog/助人工作/女性主義人生百味/index.md,人生百味：第二次的期中報告,False,/blog/助人工作/女性主義人生百味/,助人工作,助人工作,/blog/日常書寫/20220520女性主義人生百味/,助人工作,初步映射，未逐篇定案,/blog/助人工作/女性主義人生百味/
content/blog/助人工作/對話工作如潛水/index.md,對話工作如潛水,False,/blog/助人工作/對話工作如潛水/,助人工作,助人工作,/blog/日常書寫/20201102對話工作如潛水/,助人工作,初步映射，未逐篇定案,/blog/助人工作/對話工作如潛水/
content/blog/助人工作/換位思考與非暴力溝通/index.md,換位思考與非暴力溝通,False,/blog/助人工作/換位思考與非暴力溝通/,助人工作,非暴力溝通 | 助人工作,/blog/日常書寫/20210825非暴力溝通心得/,助人工作,初步映射，未逐篇定案,/blog/助人工作/換位思考與非暴力溝通/
